# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_009734005.1	Primary Assembly	chromosome		NZ_CP038996.1	1	1335	+					dnaA	66453009	E6A31_RS00005	1335		old_locus_tag=E6A31_00005
CDS	with_protein	GCF_009734005.1	Primary Assembly	chromosome		NZ_CP038996.1	1	1335	+	WP_002288360.1	WP_002288360.1		chromosomal replication initiator protein DnaA	dnaA	66453009	E6A31_RS00005	1335	444	
gene	protein_coding	GCF_009734005.1	Primary Assembly	chromosome		NZ_CP038996.1	1533	2663	+					dnaN	66453010	E6A31_RS00010	1131		old_locus_tag=E6A31_00010
CDS	with_protein	GCF_009734005.1	Primary Assembly	chromosome		NZ_CP038996.1	1533	2663	+	WP_002288361.1	WP_002288361.1		DNA polymerase III subunit beta	dnaN	66453010	E6A31_RS00010	1131	376	
gene	protein_coding	GCF_009734005.1	Primary Assembly	chromosome		NZ_CP038996.1	2892	3134	+					yaaA	66453011	E6A31_RS00015	243		old_locus_tag=E6A31_00015
CDS	with_protein	GCF_009734005.1	Primary Assembly	chromosome		NZ_CP038996.1	2892	3134	+	WP_002295251.1	WP_002295251.1		S4 domain-containing protein YaaA	yaaA	66453011	E6A31_RS00015	243	80	
gene	protein_coding	GCF_009734005.1	Primary Assembly	chromosome		NZ_CP038996.1	3121	4245	+					recF	66453012	E6A31_RS00020	1125		old_locus_tag=E6A31_00020
CDS	with_protein	GCF_009734005.1	Primary Assembly	chromosome		NZ_CP038996.1	3121	4245	+	WP_002288363.1	WP_002288363.1		DNA replication/repair protein RecF	recF	66453012	E6A31_RS00020	1125	374	
gene	protein_coding	GCF_009734005.1	Primary Assembly	chromosome		NZ_CP038996.1	4242	6188	+					gyrB	66453013	E6A31_RS00025	1947		old_locus_tag=E6A31_00025
CDS	with_protein	GCF_009734005.1	Primary Assembly	chromosome		NZ_CP038996.1	4242	6188	+	WP_002288364.1	WP_002288364.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB	66453013	E6A31_RS00025	1947	648	
gene	protein_coding	GCF_009734005.1	Primary Assembly	chromosome		NZ_CP038996.1	6208	8679	+					gyrA	66453014	E6A31_RS00030	2472		old_locus_tag=E6A31_00030
