# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	2862571	52	+					infC		EGCR1_RS00005	525		old_locus_tag=EGCR1_00005
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	2862571	52	+	WP_010747120.1	WP_010747120.1		translation initiation factor IF-3	infC		EGCR1_RS00005	525	174	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	126	326	+					rpmI		EGCR1_RS00010	201		old_locus_tag=EGCR1_00010
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	126	326	+	WP_010742869.1	WP_010742869.1		50S ribosomal protein L35	rpmI		EGCR1_RS00010	201	66	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	388	747	+					rplT		EGCR1_RS00015	360		old_locus_tag=EGCR1_00015
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	388	747	+	WP_010781965.1	WP_010781965.1		50S ribosomal protein L20	rplT		EGCR1_RS00015	360	119	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	1250	3805	+							EGCR1_RS00020	2556		old_locus_tag=EGCR1_00020
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	1250	3805	+	WP_114523790.1	WP_114523790.1		HAD-IC family P-type ATPase			EGCR1_RS00020	2556	851	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	3815	5263	-							EGCR1_RS00025	1449		old_locus_tag=EGCR1_00025
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	3815	5263	-	WP_114523791.1	WP_114523791.1		helix-turn-helix domain-containing protein			EGCR1_RS00025	1449	482	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	5423	5725	+							EGCR1_RS00030	303		old_locus_tag=EGCR1_00030
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	5423	5725	+	WP_114523792.1	WP_114523792.1		hypothetical protein			EGCR1_RS00030	303	100	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	5851	6777	+							EGCR1_RS00035	927		old_locus_tag=EGCR1_00035
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	5851	6777	+	WP_114523793.1	WP_114523793.1		aldo/keto reductase			EGCR1_RS00035	927	308	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	6815	7486	-							EGCR1_RS00040	672		old_locus_tag=EGCR1_00040
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	6815	7486	-	WP_240318374.1	WP_240318374.1		LytTR family DNA-binding domain-containing protein			EGCR1_RS00040	672	223	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	7438	7575	-							EGCR1_RS19505	138		
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	7438	7575	-	WP_240318375.1	WP_240318375.1		hypothetical protein			EGCR1_RS19505	138	45	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	7579	8685	-							EGCR1_RS00045	1107		old_locus_tag=EGCR1_00045
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	7579	8685	-	WP_240318376.1	WP_240318376.1		GHKL domain-containing protein			EGCR1_RS00045	1107	368	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	9472	12501	+							EGCR1_RS00050	3030		old_locus_tag=EGCR1_00050
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	9472	12501	+	WP_114523795.1	WP_114523795.1		hypothetical protein			EGCR1_RS00050	3030	1009	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	12503	14077	+							EGCR1_RS00055	1575		old_locus_tag=EGCR1_00055
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	12503	14077	+	WP_114523796.1	WP_114523796.1		SpaH/EbpB family LPXTG-anchored major pilin			EGCR1_RS00055	1575	524	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	14100	15962	+							EGCR1_RS00060	1863		old_locus_tag=EGCR1_00060
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	14100	15962	+	WP_114523797.1	WP_114523797.1		SpaH/EbpB family LPXTG-anchored major pilin			EGCR1_RS00060	1863	620	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	16071	17276	+							EGCR1_RS00065	1206		old_locus_tag=EGCR1_00065
