# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	1	1335	+					dnaA	66496260	KU781_RS00005	1335		old_locus_tag=KU781_00005
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	1	1335	+	WP_002293122.1	WP_002293122.1		chromosomal replication initiator protein DnaA	dnaA	66496260	KU781_RS00005	1335	444	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	1533	2663	+					dnaN	66496261	KU781_RS00010	1131		old_locus_tag=KU781_00010
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	1533	2663	+	WP_002293124.1	WP_002293124.1		DNA polymerase III subunit beta	dnaN	66496261	KU781_RS00010	1131	376	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	2891	3133	+					yaaA	66496262	KU781_RS00015	243		old_locus_tag=KU781_00015
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	2891	3133	+	WP_002293125.1	WP_002293125.1		S4 domain-containing protein YaaA	yaaA	66496262	KU781_RS00015	243	80	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	3120	4244	+					recF	66496263	KU781_RS00020	1125		old_locus_tag=KU781_00020
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	3120	4244	+	WP_002293126.1	WP_002293126.1		DNA replication/repair protein RecF	recF	66496263	KU781_RS00020	1125	374	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	4241	6187	+					gyrB	66496264	KU781_RS00025	1947		old_locus_tag=KU781_00025
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	4241	6187	+	WP_002288364.1	WP_002288364.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB	66496264	KU781_RS00025	1947	648	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	6207	8678	+					gyrA	66496265	KU781_RS00030	2472		old_locus_tag=KU781_00030
