# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	1	1326	+					dnaA	67038499	J9537_RS00005	1326		old_locus_tag=J9537_00005
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	1	1326	+	WP_010747419.1	WP_010747419.1		chromosomal replication initiator protein DnaA	dnaA	67038499	J9537_RS00005	1326	441	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	1569	2699	+					dnaN	67038500	J9537_RS00010	1131		old_locus_tag=J9537_00010
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	1569	2699	+	WP_010747418.1	WP_010747418.1		DNA polymerase III subunit beta	dnaN	67038500	J9537_RS00010	1131	376	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	2934	3176	+					yaaA	67038501	J9537_RS00015	243		old_locus_tag=J9537_00015
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	2934	3176	+	WP_010747417.1	WP_010747417.1		S4 domain-containing protein YaaA	yaaA	67038501	J9537_RS00015	243	80	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	3163	4281	+					recF	67038502	J9537_RS00020	1119		old_locus_tag=J9537_00020
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	3163	4281	+	WP_218256258.1	WP_218256258.1		DNA replication/repair protein RecF	recF	67038502	J9537_RS00020	1119	372	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	4282	6231	+					gyrB	67038503	J9537_RS00025	1950		old_locus_tag=J9537_00025
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	4282	6231	+	WP_218256259.1	WP_218256259.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB	67038503	J9537_RS00025	1950	649	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	6294	8750	+					gyrA	67038504	J9537_RS00030	2457		old_locus_tag=J9537_00030
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	6294	8750	+	WP_245001318.1	WP_245001318.1		DNA gyrase subunit A	gyrA	67038504	J9537_RS00030	2457	818	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	8930	9232	+					rpsF	67038505	J9537_RS00035	303		old_locus_tag=J9537_00035
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	8930	9232	+	WP_010742561.1	WP_010742561.1		30S ribosomal protein S6	rpsF	67038505	J9537_RS00035	303	100	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	9277	9783	+					ssb	67038506	J9537_RS00040	507		old_locus_tag=J9537_00040
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	9277	9783	+	WP_010747413.1	WP_010747413.1		single-stranded DNA-binding protein	ssb	67038506	J9537_RS00040	507	168	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	9807	10040	+					rpsR	67038507	J9537_RS00045	234		old_locus_tag=J9537_00045
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	9807	10040	+	WP_010747412.1	WP_010747412.1		30S ribosomal protein S18	rpsR	67038507	J9537_RS00045	234	77	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	10248	12212	+						67038508	J9537_RS00050	1965		old_locus_tag=J9537_00050
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	10248	12212	+	WP_218256261.1	WP_218256261.1		DHH family phosphoesterase		67038508	J9537_RS00050	1965	654	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	12209	12661	+					rplI	67038509	J9537_RS00055	453		old_locus_tag=J9537_00055
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	12209	12661	+	WP_010747410.1	WP_010747410.1		50S ribosomal protein L9	rplI	67038509	J9537_RS00055	453	150	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	12788	14149	+					dnaB	67038510	J9537_RS00060	1362		old_locus_tag=J9537_00060
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	12788	14149	+	WP_218256262.1	WP_218256262.1		replicative DNA helicase	dnaB	67038510	J9537_RS00060	1362	453	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	14324	15616	+						67038511	J9537_RS00065	1293		old_locus_tag=J9537_00065
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	14324	15616	+	WP_218256263.1	WP_218256263.1		adenylosuccinate synthase		67038511	J9537_RS00065	1293	430	
